other_number,v1,v2,v3
2583,Cities and Towns,Towns and Small Cities,Housing Projects
5959,Cities and Towns,Towns and Small Cities,Housing Projects
2533,Cities and Towns,Towns and Small Cities,Industrial Towns
25906,Cities and Towns,Towns and Small Cities,Mexican Sections
2535,Cities and Towns,Towns and Small Cities,Mill Towns
2527,Cities and Towns,Towns and Small Cities,MiningTowns
25477,Cities and Towns,Towns and Small Cities,Monuments
251,Cities and Towns,Towns and Small Cities,Overall Views
25475,Cities and Towns,Towns and Small Cities,Parks
2515,Cities and Towns,Towns and Small Cities,Planned Towns
262,Cities and Towns,Towns and Small Cities,Pueblos
2576,Cities and Towns,Towns and Small Cities,Real Estate Developments
254698,Cities and Towns,Towns and Small Cities,"Restored Williamsburg, Va"
2547,Cities and Towns,Towns and Small Cities,Signs and Historical Markers
259,Cities and Towns,Towns and Small Cities,Slums
2566,Cities and Towns,Towns and Small Cities,Stores
255,Cities and Towns,Towns and Small Cities,Streets
25,Cities and Towns,Towns and Small Cities,Towns
25865,Cities and Towns,Towns and Small Cities,"Walks, Underpasses"
2594,Cities and Towns,Towns and Small Cities,Waterfronts
25278,Cities and Towns,Towns and Small Cities,West Virginia
4722,Homes and Living Conditions,Exteriors,Gardens
47,Homes and Living Conditions,Exteriors,"Porches, Yards, Gardens"
483,Homes and Living Conditions,Exteriors,Servants
453,Homes and Living Conditions,Household Activities,Canning and Preserving
45315,Homes and Living Conditions,Household Activities,Community Canning Centers
4528,Homes and Living Conditions,Household Activities,Cooking and Eating Outdoors
454,Homes and Living Conditions,Household Activities,Eating
451,Homes and Living Conditions,Household Activities,Food Preparation
4622,Homes and Living Conditions,Household Activities,Fuel Supply
45,Homes and Living Conditions,Household Activities,Housework
457,Homes and Living Conditions,Household Activities,"Laundry , Ironing"
46,Homes and Living Conditions,Household Activities,"Men's Work, Maintenance"
4622,Homes and Living Conditions,Household Activities,"Men's Work, Maintenance"
4533,Homes and Living Conditions,Household Activities,Other Preservation Methods
4527,Homes and Living Conditions,Household Activities,Outdoor Oven
448,Homes and Living Conditions,Household Activities,Personal Cleanliness
449,Homes and Living Conditions,Household Activities,"Privies, Toilets"
465,Homes and Living Conditions,Household Activities,Sleeping
4568,Homes and Living Conditions,Household Activities,Soap Making
4628,Homes and Living Conditions,Household Activities,"Textile Crafts, Sewing, Weaving"
456,Homes and Living Conditions,Household Activities,"Washing Dishes, Cleaning"
4506,Homes and Living Conditions,Household Activities,Water Supply
4178,Homes and Living Conditions,Premanent Homes,Abandoned Houses
4145,Homes and Living Conditions,Premanent Homes,Apartment Houses
419,Homes and Living Conditions,Premanent Homes,Architectural Details
433,Homes and Living Conditions,Premanent Homes,Arriving and Leaving Home
4255,Homes and Living Conditions,Premanent Homes,"Details, Decorative Objects"
416,Homes and Living Conditions,Premanent Homes,Farm Houses
425,Homes and Living Conditions,Premanent Homes,Furniture
434,Homes and Living Conditions,Premanent Homes,"Hobbies, Collections"
4,Homes and Living Conditions,Premanent Homes,"Home, Living Conditions"
41,Homes and Living Conditions,Premanent Homes,Houses
424,Homes and Living Conditions,Premanent Homes,Interiors in Bad Condition
4315,Homes and Living Conditions,Premanent Homes,Listening to Radio
4163,Homes and Living Conditions,Premanent Homes,Mansions and Plantations
4153,Homes and Living Conditions,Premanent Homes,New England Houses
43,Homes and Living Conditions,Premanent Homes,People at Home
435,Homes and Living Conditions,Premanent Homes,Pets
4143,Homes and Living Conditions,Premanent Homes,Rammed Earth Houses
4317,Homes and Living Conditions,Premanent Homes,Reading
42,Homes and Living Conditions,Premanent Homes,Rooms
413,Homes and Living Conditions,Premanent Homes,Row Houses
417,Homes and Living Conditions,Premanent Homes,"Sod Houses, LogCabins, Adobe, Dugouts"
4173,Homes and Living Conditions,Premanent Homes,Storm Cellars
4166,Homes and Living Conditions,Premanent Homes,Substandard Houses
412,Homes and Living Conditions,Premanent Homes,"Substantial, Suburban Houses"
4148,Homes and Living Conditions,Premanent Homes,Tenement Houses
414,Homes and Living Conditions,Premanent Homes,Unit House Project
4157,Homes and Living Conditions,Premanent Homes,Victorian Houses
432,Homes and Living Conditions,Premanent Homes,Visiting
4318,Homes and Living Conditions,Premanent Homes,Writing
446,Homes and Living Conditions,Temporary Abodes,Camps
4423,Homes and Living Conditions,Temporary Abodes,"Covered Wagons, Chuckwagons"
4445,Homes and Living Conditions,Temporary Abodes,"Dormitories, Bunkhouses"
4408,Homes and Living Conditions,Temporary Abodes,Evictions and Sharecroppers
447,Homes and Living Conditions,Temporary Abodes,Hobo Jungles
443,Homes and Living Conditions,Temporary Abodes,"Houseboats, Barges"
445,Homes and Living Conditions,Temporary Abodes,Interior Details
4421,Homes and Living Conditions,Temporary Abodes,Life in Trailers
4412,Homes and Living Conditions,Temporary Abodes,Log Cabins
4417,Homes and Living Conditions,Temporary Abodes,Mexican Section
4407,Homes and Living Conditions,Temporary Abodes,Migratory Workers' Camps
444,Homes and Living Conditions,Temporary Abodes,"Rooming Houses, Dormitories, Hotels"
441,Homes and Living Conditions,Temporary Abodes,Shacks and Improvised Homes
4415,Homes and Living Conditions,Temporary Abodes,Shacktowns and Squatters
4405,Homes and Living Conditions,Temporary Abodes,"Teepees, Hogans"
44,Homes and Living Conditions,Temporary Abodes,"Tents, Shacks"
4424,Homes and Living Conditions,Temporary Abodes,"Tourist Cabins, Trailer Camps, Houseboats"
442,Homes and Living Conditions,Temporary Abodes,Trailers
44203,Homes and Living Conditions,Temporary Abodes,Trailers on Display
8683,Itellectual and Creative Activity,General,·Special Adult Training Projects
868,Itellectual and Creative Activity,General,Adult Education
736,Itellectual and Creative Activity,General,Adult Education
884,Itellectual and Creative Activity,General,"Art, Folk Art"
8627,Itellectual and Creative Activity,General,Bacteriology
8662,Itellectual and Creative Activity,General,Campus Life
8665,Itellectual and Creative Activity,General,Classes
886,Itellectual and Creative Activity,General,Decorative Arts and Crafts
8798,Itellectual and Creative Activity,General,Editorial Work
865,Itellectual and Creative Activity,General,Education
8686,Itellectual and Creative Activity,General,Education Opportunities Tour
86983,Itellectual and Creative Activity,General,Exhibit and Display Technique
875,Itellectual and Creative Activity,General,Information
86655,Itellectual and Creative Activity,General,Laboratories
872,Itellectual and Creative Activity,General,Libraries
86248,Itellectual and Creative Activity,General,Meteorology
87,Itellectual and Creative Activity,General,Museums and Archives
876,Itellectual and Creative Activity,General,Newspapers
874,Itellectual and Creative Activity,General,Photography
878,Itellectual and Creative Activity,General,"Publicity Campaign, Posters"
8765,Itellectual and Creative Activity,General,Radio News
861,Itellectual and Creative Activity,General,Science and Research
866,Itellectual and Creative Activity,General,"University, College Buildings"
8785,Itellectual and Creative Activity,General,Uses of Photos
88683,Itellectual and Creative Activity,General,Weaving and Spinning
818,Medicine and Health,General,Cllnic
82,Medicine and Health,General,Dentistry
826,Medicine and Health,General,"Drug Stores, Pharmacies"
8169,Medicine and Health,General,Elizabeth Kenny Institute
8075,Medicine and Health,General,First Aid instruction
807,Medicine and Health,General,First Aid
816,Medicine and Health,General,Hospitals
823,Medicine and Health,General,Insane Asylum
8,Medicine and Health,General,"Medicine, Health, Safety"
808,Medicine and Health,General,Military Medicine
814,Medicine and Health,General,Nurses
8263,Medicine and Health,General,Patent Medicine
8065,Medicine and Health,General,Pediatrics
81,Medicine and Health,General,Physicians
835,Medicine and Health,General,Safety
8372,Medicine and Health,General,Safety in Industry
8366,Medicine and Health,General,"Safety on Fam1s,"
83,Medicine and Health,General,"Sanitation, Public Health"
827,Medicine and Health,General,Veterinary Medicine
6773,Organized Society,Foreign Relations,Diplomatic Corps
677,Organized Society,Foreign Relations,"Foreign Relations, State Department"
6778,Organized Society,Foreign Relations,"Immigration , Citizenship Training"
67363,Organized Society,Government,Citizens' Organizations
6747,Organized Society,Government,Coast Guard
67251,Organized Society,Government,Demonstration
675,Organized Society,Government,Economic Administration
67162,Organized Society,Government,F.D.Roosevelt
67,Organized Society,Government,Government
6746,Organized Society,Government,Guards
6743,Organized Society,Government,Law
674,Organized Society,Government,Lawyers
6728,Organized Society,Government,"Movements, Organized Society"
6738,Organized Society,Government,"Patriotism, Allegiance"
6744,Organized Society,Government,Police Department
673,Organized Society,Government,Politics
67442,Organized Society,Government,Prisons
6736,Organized Society,Government,Town Meetings
6755,Organized Society,Government,Treasury Department
6725,Organized Society,Government,Trial of the Nationalists
6732,Organized Society,Government,"Voting, Elections"
68052,Organized Society,Government and Other Organized Aid,A New Start on the Land
6834,Organized Society,Government and Other Organized Aid,"Administration, Meetings"
68332,Organized Society,Government and Other Organized Aid,"Arvin, California"
683322,Organized Society,Government and Other Organized Aid,"Athena, Oregon"
68333,Organized Society,Government and Other Organized Aid,"Bridgeton, New Jersey"
6826,Organized Society,Government and Other Organized Aid,Civilian Conservation Corps
6827,Organized Society,Government and Other Organized Aid,Cooperatives
681805,Organized Society,Government and Other Organized Aid,Exhibit on Negroes
6818,Organized Society,Government and Other Organized Aid,Exhibits: F.S.A.
682,Organized Society,Government and Other Organized Aid,F.S.A. Planned Communities
6816,Organized Society,Government and Other Organized Aid,"F.S.A. Representative, Meetings"
68251,Organized Society,Government and Other Organized Aid,"Farm Communities, Part-time Farms"
6805,Organized Society,Government and Other Organized Aid,Farm Security Administration
6833,Organized Society,Government and Other Organized Aid,Farm Security Administration Camps
683337,Organized Society,Government and Other Organized Aid,"Farmersville, California"
68334,Organized Society,Government and Other Organized Aid,"Firebaugh, California"
6828,Organized Society,Government and Other Organized Aid,Food
68,Organized Society,Government and Other Organized Aid,Government and Private Assistance
6822,Organized Society,Government and Other Organized Aid,"Greenbelt, Maryland"
68426,Organized Society,Government and Other Organized Aid,Homesteads
68325,Organized Society,Government and Other Organized Aid,Japenese-Americans
68253,Organized Society,Government and Other Organized Aid,Land Use and Development
6836,Organized Society,Government and Other Organized Aid,Laundry Units
683,Organized Society,Government and Other Organized Aid,"Migratory Workers, Farm Labor Camps"
68336,Organized Society,Government and Other Organized Aid,Mobile Camp Unit
68056,Organized Society,Government and Other Organized Aid,Published F.S.A. Layout
68264,Organized Society,Government and Other Organized Aid,Rural Electrification Administration
683376,Organized Society,Government and Other Organized Aid,"Shaffer, California"
68338,Organized Society,Government and Other Organized Aid,"Sonoma, California"
68198,Organized Society,Government and Other Organized Aid,Tenessee Valley Authority
683385,Organized Society,Government and Other Organized Aid,"Vtisalia, California"
68382,Organized Society,Government and Other Organized Aid,War Housing
68339,Organized Society,Government and Other Organized Aid,"Wilder, Idaho"
682519,Organized Society,Government and Other Organized Aid,"Woodville, California"
683394,Organized Society,Government and Other Organized Aid,"Yuba City, California"
666,Organized Society,Labor Organization,Employment
667,Organized Society,Labor Organization,Going To and Leaving Work
66,Organized Society,Labor Organization,"labor Relations, Unions"
662,Organized Society,Labor Organization,"Meetings, Speakers, Voting"
6654,Organized Society,Labor Organization,Relief Grants
663,Organized Society,Labor Organization,"Str!ikes, Pickets"
665,Organized Society,Labor Organization,Unemployment
6656,Organized Society,Labor Organization,Work Relief
668,Organized Society,Labor Organization,Workers Being Paid
67921,Organized Society,Non- and Semi-Governmental Organizations,American Legion
6787,Organized Society,Non- and Semi-Governmental Organizations,Farm Bureau
678,Organized Society,Non- and Semi-Governmental Organizations,Organizations
68486,Organized Society,Other Aid Organizations,Aid to the Blind
68478,Organized Society,Other Aid Organizations,Aid to the Poor
69,Organized Society,Other Aid Organizations,Civil Disturbances
686,Organized Society,Other Aid Organizations,Emergency Aid in Disasters
6863,Organized Society,Other Aid Organizations,Flood Relief
6854,Organized Society,Other Aid Organizations,"Home Demonstration, Home Economics Training"
6855,Organized Society,Other Aid Organizations,Home Skills
6852,Organized Society,Other Aid Organizations,Vocational Training
3784,People As Such,Children,4-H Clubs
37,People As Such,Children,Activities
381,People As Such,Children,Artwork
3814,People As Such,Children,Artwork by Children
3762,People As Such,Children,"Assemblies, Ceremonies"
3877,People As Such,Children,"At Fairs, Carnivals"
385,People As Such,Children,At Play
3872,People As Such,Children,Athletic Sports
3781,People As Such,Children,Boyscouts
37675,People As Such,Children,Cafeterias and School Lunches
377,People As Such,Children,Child Care and Health
371,People As Such,Children,Child ren at Home
36,People As Such,Children,Children
361,People As Such,Children,Children with Adults
368,People As Such,Children,Children with Animals
3744,People As Such,Children,City Children Doing Fam1 Work
3873,People As Such,Children,Contests
38,People As Such,Children,Creative Activity
3795,People As Such,Children,Cruldren Reading
383,People As Such,Children,Dancing
3767,People As Such,Children,Day Care For Children of War Workers
3715,People As Such,Children,Eating
37554,People As Such,Children,Eating and Drinking
37527,People As Such,Children,Faculty Administration
3742,People As Such,Children,Farm Chores
387,People As Such,Children,Games
37515,People As Such,Children,Going To and Leaving School
3756,People As Such,Children,Grade Schools
366,People As Such,Children,Groups of Children
3753,People As Such,Children,Groups of Students
3758,People As Such,Children,High Schools
3741,People As Such,Children,Housework
3673,People As Such,Children,In Slums
3855,People As Such,Children,In Street and Undesirable Places
373,People As Such,Children,In the City
372,People As Such,Children,In the Country
382,People As Such,Children,Making Things
3763,People As Such,Children,Manual Training and Domestic Skills
3675,People As Such,Children,Migrant Children
6375,People As Such,Children,Migrant Children
37426,People As Such,Children,Migrant Cranberry Pickers
37635,People As Such,Children,Military Training
3676,People As Such,Children,Miners' Children
388,People As Such,Children,Miscellaneous
3876,People As Such,Children,Movies
384,People As Such,Children,Music
3755,People As Such,Children,Nursery Schools
364,People As Such,Children,Older Boys
365,People As Such,Children,Older Girls
37565,People As Such,Children,One-Room Schools
378,People As Such,Children,Organizations
36657,People As Such,Children,Oriental Children
3878,People As Such,Children,Parties
3768,People As Such,Children,Playgrounds
3765,People As Such,Children,Pre-Flight Training
37556,People As Such,Children,Resting
375,People As Such,Children,School
3751,People As Such,Children,School Buildings
3752,People As Such,Children,School Busses
37624,People As Such,Children,School Newspapers
37586,People As Such,Children,Science and Labwork
376,People As Such,Children,Sectarian Schools
366582,People As Such,Children,Spanish-American
37623,People As Such,Children,Student Government
38736,People As Such,Children,Swimming
3612,People As Such,Children,Under Privileged
3642,People As Such,Children,Under Privileged
3632,People As Such,Children,Under Privileged
367,People As Such,Children,Under Privileged [Children]
3764,People As Such,Children,Victory Program
3713,People As Such,Children,"Washing, Dressing, etc."
3874,People As Such,Children,Winter Sports
386,People As Such,Children,With Toys
374,People As Such,Children,"Work, Chores"
363,People As Such,Children,Young Children
8436,People As Such,Children,Young Children
3186,People As Such,Groups and Individuals,"At Fairs, Carnivals"
318,People As Such,Groups and Individuals,"At Meetings, Events"
32911,People As Such,Groups and Individuals,Bandidos
329132,People As Such,Groups and Individuals,Bus and Truck Drivers
3296,People As Such,Groups and Individuals,"Clothes, Accessories"
3396,People As Such,Groups and Individuals,"Clothes, Accessories"
32912,People As Such,Groups and Individuals,Cowboys
3,People As Such,Groups and Individuals,"Crowds, People"
3293,People As Such,Groups and Individuals,"Details: Hands, Feet, etc."
334,People As Such,Groups and Individuals,Elderly Women
35525,People As Such,Groups and Individuals,Elmer Thomas Family Leaving Home
35,People As Such,Groups and Individuals,Families
354,People As Such,Groups and Individuals,Farm Families
339142,People As Such,Groups and Individuals,Farm Women
329142,People As Such,Groups and Individuals,Farmers and Farmers' Heads
329147,People As Such,Groups and Individuals,Farmers in Groups
329146,People As Such,Groups and Individuals,Farmers with Equipment
329144,People As Such,Groups and Individuals,Farmers' Figures
329151,People As Such,Groups and Individuals,Fishermen
3291,People As Such,Groups and Individuals,Foreigners and Americans of Foreign Extraction
329152,People As Such,Groups and Individuals,French Canadians
339,People As Such,Groups and Individuals,Groups
31,People As Such,Groups and Individuals,Groups of People
329148,People As Such,Groups and Individuals,Hired Farm Hands
351,People As Such,Groups and Individuals,Husband and Wife
305,People As Such,Groups and Individuals,In Terminals and Stations
314,People As Such,Groups and Individuals,In the Streets
329156,People As Such,Groups and Individuals,Indians
325,People As Such,Groups and Individuals,"Individual Men, Full Figure"
329157,People As Such,Groups and Individuals,"Industrial Workers, Mechanics"
62607,People As Such,Groups and Individuals,"Industrial Workers, Mechanics"
329158,People As Such,Groups and Individuals,Italian Americans
32916,People As Such,Groups and Individuals,Jewish Americans
329164,People As Such,Groups and Individuals,"Longshoremen , Stevedores"
329166,People As Such,Groups and Individuals,Lumbermen
322,People As Such,Groups and Individuals,Men in their Prime
32,People As Such,Groups and Individuals,"Men, Men's Heads"
326,People As Such,Groups and Individuals,Men in their Prime
52131,People As Such,Groups and Individuals,Men in their Prime
329167,People As Such,Groups and Individuals,Mennonites
327,People As Such,Groups and Individuals,Middle Aged Men
323,People As Such,Groups and Individuals,Middle Aged Men
329184,People As Such,Groups and Individuals,Middle Aged Men
333,People As Such,Groups and Individuals,Middle Aged Women
329168,People As Such,Groups and Individuals,Migrant Workers
355,People As Such,Groups and Individuals,Migratory Agricultural Workers
339168,People As Such,Groups and Individuals,Migratory Farm Workers
32917,People As Such,Groups and Individuals,Miners
356,People As Such,Groups and Individuals,Miners' Families
328,People As Such,Groups and Individuals,Old Men
324,People As Such,Groups and Individuals,Old Men
329159,People As Such,Groups and Individuals,"Orientals, Japanese"
329175,People As Such,Groups and Individuals,Portuguese Americans
329177,People As Such,Groups and Individuals,Railroad Men
329178,People As Such,Groups and Individuals,Ranchers
329183,People As Such,Groups and Individuals,Sheep Ranchers
329184,People As Such,Groups and Individuals,Shipyard Workers
339185,People As Such,Groups and Individuals,Spanish-American and Mexican Women
329185,People As Such,Groups and Individuals,Spanish-Americans and Mexicans
329186,People As Such,Groups and Individuals,Steel Workers
329187,People As Such,Groups and Individuals,Sugar Laborers
32919,People As Such,Groups and Individuals,"Transients, Vagrants"
339157,People As Such,Groups and Individuals,Women in Industry
332,People As Such,Groups and Individuals,Women in Prime of Life
33,People As Such,Groups and Individuals,"Women, Women's Heads"
331,People As Such,Groups and Individuals,Young Women
321,People As Such,Groups and Individuals,Youths
311,People As Such,Groups and Individuals,Youths
7416,People As Such,Groups and Individuals,Youths
8436,Religion,General,Catholic Services
853,Religion,General,"Ceremonies, Processions"
842,Religion,General,Church Buildings
8423,Religion,General,Church Furniture
8422,Religion,General,"Churches, Details"
848,Religion,General,Clergy
841,Religion,General,Family Prayers
8548,Religion,General,Funerals
846,Religion,General,Going To and Leaving Church
8437,Religion,General,Jewish Services
85073,Religion,General,Missions
8438,Religion,General,Negro Church Services
847,Religion,General,Parochial Duties of the Clergy
84,Religion,General,Religion
843,Religion,General,"Religious Services, Meetings"
855,Religion,General,Religious Signs
85,Religion,General,Revival Meetings
8507,Religion,General,Salvation Army
845,Religion,General,Services
851,Religion,General,"Sunday Schools, Bible Class"
90148,Social and Personal Activity,"Ceremonies, Organized Gatherings",Carlo Tresca Funeral
901,Social and Personal Activity,"Ceremonies, Organized Gatherings",Ceremonies
9026,Social and Personal Activity,"Ceremonies, Organized Gatherings",Church Suppers and Picnics
9029,Social and Personal Activity,"Ceremonies, Organized Gatherings","Competition, Contests"
9022,Social and Personal Activity,"Ceremonies, Organized Gatherings",Conventions
905,Social and Personal Activity,"Ceremonies, Organized Gatherings",Dancing
90184,Social and Personal Activity,"Ceremonies, Organized Gatherings",Fourth of July
9014,Social and Personal Activity,"Ceremonies, Organized Gatherings",Funerals
904,Social and Personal Activity,"Ceremonies, Organized Gatherings",Informal Gatherings
9023,Social and Personal Activity,"Ceremonies, Organized Gatherings","Lectures, Speakers"
9016,Social and Personal Activity,"Ceremonies, Organized Gatherings",Memorial Services
902,Social and Personal Activity,"Ceremonies, Organized Gatherings",Organized Gatherings
9047,Social and Personal Activity,"Ceremonies, Organized Gatherings",Parties
902362,Social and Personal Activity,"Ceremonies, Organized Gatherings",Red Cross Meetings
9,Social and Personal Activity,"Ceremonies, Organized Gatherings",Social Activities
9054,Social and Personal Activity,"Ceremonies, Organized Gatherings",Square Dancing
94,Social and Personal Activity,Dissipation and Crime,"Dissipation, Crime, Prostitution, Prohibitionism"
946273,Social and Personal Activity,Dissipation and Crime,Exhibit: South Louisiana State Fair
91154,Social and Personal Activity,Entertainments,'Old Time' Shows
9167,Social and Personal Activity,Entertainments,Brass Bands
912,Social and Personal Activity,Entertainments,"Carnivals, Festivals, Pageants"
9135,Social and Personal Activity,Entertainments,Circus
9112,Social and Personal Activity,Entertainments,Commerce and Industry Exhibits
9116,Social and Personal Activity,Entertainments,"Crowds, Refreshments"
9166,Social and Personal Activity,Entertainments,"Dance Orchestras, Swing Bands"
91,Social and Personal Activity,Entertainments,Fairs
91614,Social and Personal Activity,Entertainments,Group Singing
9118,Social and Personal Activity,Entertainments,Horse Shows
915,Social and Personal Activity,Entertainments,Motion Pictures
916,Social and Personal Activity,Entertainments,Music
9125,Social and Personal Activity,Entertainments,Parades
917,Social and Personal Activity,Entertainments,Radio
9127,Social and Personal Activity,Entertainments,Religious Parades
913,Social and Personal Activity,Entertainments,Rodeo
9114,Social and Personal Activity,Entertainments,Stock Shows
914,Social and Personal Activity,Entertainments,"Theater, Burlesque , Show Business"
9148,Social and Personal Activity,Entertainments,Traveling Medicine Show
896,Social and Personal Activity,General,"Flirtation, Love-Making, Courtship"
893,Social and Personal Activity,General,Hobbies
894,Social and Personal Activity,General,Photography as a Hobby
9067,Social and Personal Activity,"Hotels, Restaurants, Clubs, Vacations","Bars, Saloons, Night Clubs"
9085,Social and Personal Activity,"Hotels, Restaurants, Clubs, Vacations",Bathing Beaches
9086,Social and Personal Activity,"Hotels, Restaurants, Clubs, Vacations","Carnival, Midway , Amusement Park"
90666,Social and Personal Activity,"Hotels, Restaurants, Clubs, Vacations",Drinking Water
90645,Social and Personal Activity,"Hotels, Restaurants, Clubs, Vacations",Drive In Food Shoppe
9075,Social and Personal Activity,"Hotels, Restaurants, Clubs, Vacations",Dude Ranches
9066,Social and Personal Activity,"Hotels, Restaurants, Clubs, Vacations",Eating Lunch on the Job
906,Social and Personal Activity,"Hotels, Restaurants, Clubs, Vacations","Hotels, Restaurants, Eating Places"
90643,Social and Personal Activity,"Hotels, Restaurants, Clubs, Vacations",Institutional Dining Rooms
9064,Social and Personal Activity,"Hotels, Restaurants, Clubs, Vacations","Lunch Rooms, Diners"
90854,Social and Personal Activity,"Hotels, Restaurants, Clubs, Vacations",Minor Amusement Enterprises
9069,Social and Personal Activity,"Hotels, Restaurants, Clubs, Vacations",Picnics
9065,Social and Personal Activity,"Hotels, Restaurants, Clubs, Vacations","Refreshment Stands, Soft Drink Bars"
907,Social and Personal Activity,"Hotels, Restaurants, Clubs, Vacations","Resorts, Tourists , Vacations"
9063,Social and Personal Activity,"Hotels, Restaurants, Clubs, Vacations",Restaurants
4255,Social and Personal Activity,"Hotels, Restaurants, Clubs, Vacations",Restaurants
9087,Social and Personal Activity,"Hotels, Restaurants, Clubs, Vacations",Rides
908,Social and Personal Activity,"Hotels, Restaurants, Clubs, Vacations",Roller Skating Rinks
9088,Social and Personal Activity,"Hotels, Restaurants, Clubs, Vacations",Side Shows
933,Social and Personal Activity,Recreation and Relaxation,Baseball
9237,Social and Personal Activity,Recreation and Relaxation,Bicycling
9253,Social and Personal Activity,Recreation and Relaxation,"Boating, Sailing"
9367,Social and Personal Activity,Recreation and Relaxation,Card Games
93925,Social and Personal Activity,Recreation and Relaxation,Cock Fighting
9285,Social and Personal Activity,Recreation and Relaxation,Fishing
9304,Social and Personal Activity,Recreation and Relaxation,Football
937,Social and Personal Activity,Recreation and Relaxation,Gambling
9385,Social and Personal Activity,Recreation and Relaxation,Harness Racing
938,Social and Personal Activity,Recreation and Relaxation,Horse Racing
928,Social and Personal Activity,Recreation and Relaxation,Hunting and Fishing
936,Social and Personal Activity,Recreation and Relaxation,Indoor Games
9228,Social and Personal Activity,Recreation and Relaxation,Outdoor Life
929,Social and Personal Activity,Recreation and Relaxation,Outdoor Games
9348,Social and Personal Activity,Recreation and Relaxation,"Physical Training, Calisthenics"
9224,Social and Personal Activity,Recreation and Relaxation,Popular Libraries
922,Social and Personal Activity,Recreation and Relaxation,Reading
